Issue ID,Title,Epic,Component,Status,Priority,Dependencies,Source
TAR-P0-011,Standard API response contracts,Platform Foundation,API Platform,Todo,P0,TAR-P0-002,01_SYSTEM_ARCHITECTURE.md
TAR-P0-012,Event envelope and outbox foundation,Platform Foundation,Events,Todo,P0,TAR-P0-007,01_SYSTEM_ARCHITECTURE.md
TAR-P0-013,Background worker framework,Platform Foundation,Workers,Todo,P0,TAR-P0-006,01_SYSTEM_ARCHITECTURE.md
TAR-P1-013,Tenant-scoped repository helper,Auth RBAC Tenancy,Tenancy,Todo,P0,TAR-P1-002,02_AUTH_RBAC_TENANCY.md
TAR-FE-001,Typed frontend API client,Frontend UI Architecture,Frontend Platform,Done,P0,TAR-P0-003,17_FRONTEND_UI_ARCHITECTURE.md
TAR-P3-012,File safety scanning before AI readiness,Reports Imaging Pipeline,Security,Todo,P0,TAR-P3-003,04_REPORTS_IMAGING_PIPELINE.md
TAR-AI-001,AI task and agent run schema,AI Agent Orchestration,AI Orchestration,Todo,P0,TAR-P5-005,07_AI_AGENT_ORCHESTRATION.md
TAR-AI-003,AI output schema validation and safety flags,AI Agent Orchestration,AI Safety,Todo,P0,TAR-AI-002,07_AI_AGENT_ORCHESTRATION.md
TAR-P1-004,Tenant selection flow,Auth RBAC Tenancy,Auth,Done,P0,TAR-P1-003,02_AUTH_RBAC_TENANCY.md
TAR-P1-005,Permission checking helper,Auth RBAC Tenancy,RBAC,Done,P0,TAR-P1-001,02_AUTH_RBAC_TENANCY.md
TAR-P1-006,Audit log service,Auth RBAC Tenancy,Audit,Todo,P0,TAR-P1-001,02_AUTH_RBAC_TENANCY.md
